,A1,A2.1,A2.2,A2.3,A2.4,A2.5,A2.6,A2.7,A2.8,A2.9,A2.10,A2.11,A2.12,A2.13,A3.1,A3.2,A3.3,A3.4,TXT,B1,B2,B3,B4,B5,                                                  
1,1,6,6,5,6,6,6,6,6,5,6,6,6,5,7,6,7,,,2,20,1,1,0,                                                                                                                 
2,1,6,6,5,6,7,7,6,6,6,6,6,6,6,7,7,7,7,,1,20,1,1,0,                                                                                                                
3,1,5,5,4,6,6,5,6,6,6,5,5,5,5,7,7,7,6,,1,18,1,1,0,                                                                                                                
4,1,5,5,4,6,5,7,6,5,5,7,6,6,6,7,7,7,7,,1,20,1,1,1,                                                                                                                
5,1,6,6,7,7,6,,6,6,6,6,6,6,6,6,6,6,6,,1,25,1,1,0,                                                                                                                 
6,1,6,6,5,6,7,7,7,7,6,6,6,6,6,6,6,6,6,,2,19,1,1,0,                                                                                                                
7,1,6,6,6,7,7,6,6,7,6,6,6,6,6,7,7,7,7,,1,19,1,1,0,                                                                                                                
8,1,7,7,7,7,6,6,6,6,7,6,6,7,7,7,7,7,7,,1,23,1,2,0,                                                                                                                
9,1,6,5,5,4,7,6,5,7,7,7,3,7,5,4,6,7,5,,1,18,1,1,0,                                                                                                                
10,1,6,6,6,7,5,6,5,6,5,5,5,5,5,6,6,6,6,,1,19,1,1,0,                                                                                                               
11,1,7,7,7,7,7,7,6,6,6,7,7,7,7,7,7,7,7,,1,27,2,3,1,                                                                                                               
12,1,6,4,5,7,6,6,6,6,6,6,4,4,4,5,5,6,6,,1,22,1,2,0,                                                                                                               
13,1,5,5,5,7,7,7,7,7,7,6,6,6,6,6,6,6,6,aulas mais práticas,1,18,1,1,0,                                                                                            
14,1,7,6,7,7,7,6,7,6,6,6,4,5,5,7,7,7,7,,1,20,1,1,0,                                                                                                               
15,1,6,5,7,7,6,6,5,6,7,6,6,6,6,6,5,4,6,,1,21,1,1,0,                                                                                                               
16,1,6,7,6,7,6,5,5,5,6,7,7,7,6,6,6,7,4,tratamento mais sintetizado da matéria ou menos matéria a ser trabalhada,1,25,1,1,0,                                       
17,1,,,,,,,,,,,,,,,,,,,1,18,1,1,0,                                                                                                                                
18,1,7,6,6,7,6,6,6,6,7,7,6,6,6,6,7,7,7,,1,23,1,1,0,                                                                                                               
19,1,6,6,5,5,5,6,5,6,6,7,7,7,7,7,7,7,6,reduzir o elevado número de slides e realização de mais exercícios práticos nas aulas,1,,1,,0,                             
20,1,7,7,7,7,7,5,5,5,7,7,7,7,7,7,5,7,7,,2,26,1,3,1,                                                                                                               
21,1,5,4,4,5,7,6,5,6,5,6,3,4,4,5,5,5,5,,1,21,1,1,0,                                                                                                               
22,1,5,4,4,5,6,5,4,4,4,5,5,5,5,5,5,6,4,,1,18,1,1,0,                                                                                                               
23,1,6,6,7,7,7,7,6,6,6,6,6,6,6,6,6,7,,,1,20,1,1,0,                                                                                                                
24,1,5,4,4,6,6,6,4,7,7,7,5,5,5,6,6,6,6,,1,21,1,1,0,                                                                                                               
25,0,3,4,4,6,5,5,5,5,6,4,4,4,4,4,5,5,6,,1,19,1,1,1,                                                                                                               
26,1,6,4,6,6,6,6,5,6,7,4,4,4,4,4,6,5,4,,1,22,1,0,0,                                                                                                               
27,1,5,4,6,5,7,6,5,5,4,4,4,5,4,6,6,6,6,,1,20,1,1,0,                                                                                                               
28,1,4,4,6,6,5,5,5,5,4,4,4,4,4,6,5,5,4,,1,20,1,1,0,                                                                                                               
29,1,5,4,4,7,7,5,5,5,6,7,7,7,7,7,6,7,4,,1,19,1,1,0,                                                                                                               
30,1,5,5,5,7,7,5,6,7,7,6,5,6,5,6,7,7,7,"mais exercícios de aula, ajudam no melhor funcionamento, entendem os assuntos",2,,1,,0,                                   
