"";"Conceitos";"Ciclo de Vida";"Análise Requisitos";"Gestão de projetos";"Modelos e bases de dados";"Análise estruturada";"DFD's";"E-R";"Lógica";"AOO";"Casos de Uso";"Classes";"Sequencia";"Doc Conceitos";"Doc An. Estruturada";"Doc An OO";"Doc An Soft"
"Conceitos";0;3.33139819730377e-07;0.00681281716137461;0.252289008383072;0.136743338225632;0.105382440337674;0.295427278062721;0.309610353711402;0.0144307038758225;0.128360733247928;0.148484300740343;0.0177604386355004;0.150982970495583;3.33355343329345e-07;0.000552215317955351;0.0520121570199161;0.120886124905504
"Ciclo de Vida";2.64396682325696e-09;0;1.30953295274239e-06;0.00929172030806669;0.0167244090881702;0.000371948495246244;0.00175680127849498;0.0253687090805474;0.0195395368464646;0.00681281716137461;0.000303769256748687;6.03339635762978e-05;5.63516857443602e-06;1.77911071164161e-06;0.000249552830513533;0.00163880397683158;0.00881713641604231
"Análise Requisitos";7.9935928133601e-05;1.06466093718893e-08;0;0.00129604795300242;0.236784672029378;0.00443486968029205;0.408064037977056;0.408064037977056;0.137912798167572;0.100409204365755;0.408064037977056;0.219689423026477;0.362892260276801;0.309610353711402;0.118449467267629;0.408064037977056;0.222881244144407
"Gestão de projetos";0.0074202649524433;0.000116146503850834;1.32249791122696e-05;0;0.0177604386355004;0.00602026436235192;0.408064037977056;0.408064037977056;0.00502113860769171;0.150982970495583;0.309610353711402;0.408064037977056;0.309610353711402;0.159970294985141;0.309610353711402;0.219689423026477;0.0176248919685733
"Modelos e bases de dados";0.00263351823547042;0.000222992121175603;0.0067652763436965;0.000249737759398849;0;0.00126738500473;0.0273474652481975;0.000432106174073965;0.159970294985141;0.0489394686791575;0.408064037977056;0.136743338225632;0.222881244144407;0.408064037977056;0.0732835582498992;0.145732172146007;0.309610353711402
"Análise estruturada";0.00184881474276621;3.41237151602058e-06;4.92763297810228e-05;6.84120950267264e-05;1.28018687346465e-05;0;0.00175680127849498;0.00175577166826257;0.326068058528486;0.0736311920548083;0.408064037977056;0.408064037977056;0.253993186401047;0.205745253532741;0.00892220545925171;0.408064037977056;0.222881244144407
"DFD's";0.0098037651925722;1.88567638081949e-05;0.085873384232346;0.0513375545007229;0.000408171123107426;1.86893753031381e-05;0;2.23208473926206e-09;0.289747309558635;0.159970294985141;0.00287535693883889;0.00667203591913301;0.000203479439903731;0.036209956995688;0.012667778711017;0.295427278062721;0.408064037977056
"E-R";0.0119271413976265;0.000373069251184521;0.0434778110388259;0.0257976563679021;4.00098309327745e-06;1.84818070343429e-05;1.70388148035272e-11;0;0.000698069089008158;0.000845900797270982;0.0177604386355004;0.000830962725927087;0.000688525038267107;0.408064037977056;1.66510620775995e-05;0.295427278062721;0.309610353711402
"Lógica";0.000189877682576611;0.00027913624066378;0.00275825596335144;5.64172877268732e-05;0.00355489544411425;0.0181148921404715;0.00905460342370734;6.71220277892459e-06;0;0.00881713641604231;0.309610353711402;0.128024427295354;0.0239630401190096;0.309610353711402;0.0138533704244903;0.408064037977056;0.188385464410618
"AOO";0.0024219006273194;7.92188042020303e-05;0.00170185092145347;0.00326735652714749;0.000776816963161231;0.0012271865342468;0.00365403200865821;8.37525541852457e-06;0.000106697092788988;0;1.90215368345292e-07;5.90638649100583e-14;1.79016002022081e-09;0.0465163549509384;9.41255420938703e-05;1.20511253065558e-06;0.0378553993287012
"Casos de Uso";0.00309342293209047;2.76153869771534e-06;0.0283261176380003;0.0113404603817835;0.0423163793714503;0.0972716496237587;3.12538797699879e-05;0.000243293679938361;0.012000379910893;1.49775880586844e-09;0;0;0;3.29066641815423e-05;0.000728169612554286;0.00368302419000655;0.408064037977056
"Classes";0.000245084490451575;5.2012037565774e-07;0.00549223557566192;0.0272849424949315;0.00262967958126215;0.0565259003893961;7.66900680360116e-05;8.14669339144203e-06;0.00237082272769173;4.44089209850063e-16;0;0;0;0.000131659950031615;4.54704982999488e-06;1.90984775816361e-06;0.103649472603252
"Sequencia";0.00321240362756559;4.73543577683699e-08;0.0213466035456942;0.0122009042191289;0.00586529589853702;0.00769676322427415;1.81678071342617e-06;6.55738131682959e-06;0.000347290436507386;1.35618183350061e-11;0;0;0;0.00142928305313594;0.000987266242979956;0.0120346800043261;0.309610353711402
"Doc Conceitos";2.66684274663476e-09;1.45828746855869e-08;0.0110575126325501;0.0035756531469302;0.0344582971263305;0.00501817691543271;0.000548635712055878;0.0340074614099937;0.016068368808698;0.000726818046108413;2.81253540013182e-07;1.15491184238259e-06;1.4734876836453e-05;0;7.20637838291793e-08;0.000508147732310782;0.00719879011823643
"Doc An. Estruturada";5.2095784712769e-06;2.24822369832012e-06;0.00211516905835052;0.012662036037963;0.0012013698073754;0.00011015068468212;0.000162407419372013;1.41110695572877e-07;0.000179913901616757;8.18482974729307e-07;7.06960788887656e-06;3.7892081916624e-08;9.87266242979956e-06;5.54336798685995e-10;0;1.36318277554892e-07;0.00019432288179333
"Doc An OO";0.000838905758385744;1.70708747586623e-05;0.0870113975892153;0.0056271163192283;0.0029741259621634;0.0792869526874447;0.0101693493041972;0.00952991219557164;0.268004878453168;9.71864944077083e-09;4.04727932967752e-05;1.57838657699472e-08;0.000152337721573748;4.74904422720357e-06;1.06498654339759e-09;0;1.02154855241565e-07
"Doc An Soft";0.00219792954373643;0.000106230559229425;0.00594206111726425;0.000238174215791531;0.0132964852721307;0.00614687099040889;0.025504002373566;0.0111085371205459;0.0044853682002528;0.000582390758903095;0.0294588666692612;0.00178705987246985;0.0143599906208087;8.56998823599575e-05;1.71967152029495e-06;7.91898102647792e-10;0
